conceptId	en	current_ru	latin_ta	english_ta	mapping_status	confidence
FMA21388	left common iliac vein	Левый общая подвздошная вена	vena iliaca communis	common iliac vein	PROBABLE	0.86
FMA21422	descending branch of right lateral circumflex femoral artery	Нисходящая ветвь правый латеральная огибающая бедренная артерия	ramus descendens arteriae circumflexae lateralis femoris	descending branch of lateral circumflex femoral artery	PROBABLE	0.86
FMA21423	descending branch of left lateral circumflex femoral artery	Нисходящая ветвь левый латеральная огибающая бедренная артерия	ramus descendens arteriae circumflexae lateralis femoris	descending branch of lateral circumflex femoral artery	PROBABLE	0.86
FMA21496	ligament organ	Связка орган			NO_MATCH	0.00
FMA21520	branch of inferior branch of ileocolic artery	Ветвь нижней ветви подвздошно-ободочной артерии			NO_MATCH	0.00
FMA21521	trunk of branch of left colic artery	Туловище ветвь левый ободочная артерия			NO_MATCH	0.00
FMA21930	external anal sphincter	Наружная анал сфинктэр	sphincter externus ani	external anal sphincter	EXACT	1.00
FMA22298	obturator internus	Обтуратор интэрнус	obturator internus	obturator internus	EXACT	1.00
FMA22299	obturator externus	Обтуратор экстэрнус	obturator externus	obturator externus	EXACT	1.00
FMA22310	iliacus	Илиакус			NO_MATCH	0.00
FMA22314	gluteus maximus	Ягодичная мышца максимус			NO_MATCH	0.00
FMA22315	gluteus medius	Ягодичная мышца мэдиус			NO_MATCH	0.00
FMA22317	gluteus minimus	Ягодичная мышца минимус			NO_MATCH	0.00
FMA22318	gemellus superior	Гэмэллус верхняя			NO_MATCH	0.00
FMA22319	gemellus	Гэмэллус			NO_MATCH	0.00
FMA22320	gemellus inferior	Гэмэллус нижняя			NO_MATCH	0.00
FMA22321	quadratus femoris	Квадратус бедра			NO_MATCH	0.00
FMA22322	right iliacus	Правый илиакус			NO_MATCH	0.00
FMA22323	left iliacus	Левый илиакус			NO_MATCH	0.00
FMA22324	right obturator internus	Правый обтуратор интэрнус	obturator internus	obturator internus	PROBABLE	0.86
FMA22325	left obturator internus	Левый обтуратор интэрнус	obturator internus	obturator internus	PROBABLE	0.86
FMA22326	right obturator externus	Правый обтуратор экстэрнус	obturator externus	obturator externus	PROBABLE	0.86
FMA22327	left obturator externus	Левый обтуратор экстэрнус	obturator externus	obturator externus	PROBABLE	0.86
FMA22328	right gluteus maximus	Правый ягодичная мышца максимус			NO_MATCH	0.00
FMA22329	left gluteus maximus	Левый ягодичная мышца максимус			NO_MATCH	0.00
FMA22330	right gluteus medius	Правый ягодичная мышца мэдиус			NO_MATCH	0.00
FMA22331	left gluteus medius	Левый ягодичная мышца мэдиус			NO_MATCH	0.00
FMA22332	right gluteus minimus	Правый ягодичная мышца минимус			NO_MATCH	0.00
FMA22333	left gluteus minimus	Левый ягодичная мышца минимус			NO_MATCH	0.00
FMA22334	right gemellus superior	Правый гэмэллус верхняя			NO_MATCH	0.00
FMA22335	left gemellus superior	Левый гэмэллус верхняя			NO_MATCH	0.00
FMA22336	right gemellus inferior	Правый гэмэллус нижняя			NO_MATCH	0.00
FMA22337	left gemellus inferior	Левый гэмэллус нижняя			NO_MATCH	0.00
FMA22338	right quadratus femoris	Правый квадратус бедра			NO_MATCH	0.00
FMA22339	left quadratus femoris	Левый квадратус бедра			NO_MATCH	0.00
FMA22340	right piriformis	Правый пириформис			NO_MATCH	0.00
FMA22341	left piriformis	Левый пириформис			NO_MATCH	0.00
FMA22342	right psoas major	Правый псоас большая	psoas major	psoas major	PROBABLE	0.86
FMA22343	left psoas major	Левый псоас большая	psoas major	psoas major	PROBABLE	0.86
FMA22353	sartorius	Портняжная мышца			NO_MATCH	0.00
FMA22354	right sartorius	Правый портняжная мышца			NO_MATCH	0.00
FMA22355	left sartorius	Левый портняжная мышца			NO_MATCH	0.00
FMA22357	semitendinosus	Сэмитэндиносус			NO_MATCH	0.00
FMA22358	right semitendinosus	Правый сэмитэндиносус			NO_MATCH	0.00
FMA22359	left semitendinosus	Левый сэмитэндиносус			NO_MATCH	0.00
FMA22423	tensor fasciae latae	Напрягатель фаскиаэ латаэ	tensor fasciae latae	tensor fasciae latae	EXACT	1.00
FMA22424	muscle of anterior compartment of thigh	Мышца передняя компартмент бедро			NO_MATCH	0.00
FMA22425	right tensor fasciae latae	Правый напрягатель фаскиаэ латаэ	tensor fasciae latae	tensor fasciae latae	PROBABLE	0.86
FMA22426	left tensor fasciae latae	Левый напрягатель фаскиаэ латаэ	tensor fasciae latae	tensor fasciae latae	PROBABLE	0.86
FMA22427	muscle of posterior compartment of thigh	Мышца задняя компартмент бедро			NO_MATCH	0.00
FMA22429	zone of quadriceps femoris	Зона квадрикэпс бедра			NO_MATCH	0.00
FMA22430	rectus femoris	Прямая мышца бедра			NO_MATCH	0.00
FMA22431	vastus lateralis	Вастус латеральная			NO_MATCH	0.00
FMA22432	vastus medialis	Вастус медиальная			NO_MATCH	0.00
FMA22433	vastus intermedius	Вастус интэрмэдиус			NO_MATCH	0.00
FMA22438	semimembranosus	Сэмимэмбраносус			NO_MATCH	0.00
FMA22439	muscle of medial compartment of thigh	Мышца медиальная компартмент бедро			NO_MATCH	0.00
FMA22440	pectineus	Пэктинэус			NO_MATCH	0.00
FMA22441	adductor longus	Длинная приводящая мышца	adductor longus	adductor longus	EXACT	1.00
FMA22442	adductor brevis	Короткая приводящая мышца	adductor brevis	adductor brevis	EXACT	1.00
FMA22443	adductor magnus	Большая приводящая мышца	adductor magnus	adductor magnus	EXACT	1.00
FMA22448	right semimembranosus	Правый сэмимэмбраносус			NO_MATCH	0.00
FMA22449	left semimembranosus	Левый сэмимэмбраносус			NO_MATCH	0.00
FMA22450	right pectineus	Правый пэктинэус			NO_MATCH	0.00
FMA22451	left pectineus	Левый пэктинэус			NO_MATCH	0.00
FMA22452	right adductor brevis	Правый приводящая мышца короткая	adductor brevis	adductor brevis	PROBABLE	0.86
FMA22454	left adductor brevis	Левый приводящая мышца короткая	adductor brevis	adductor brevis	PROBABLE	0.86
FMA22456	right adductor longus	Правый приводящая мышца длинная	adductor longus	adductor longus	PROBABLE	0.86
FMA22457	left adductor longus	Левый приводящая мышца длинная	adductor longus	adductor longus	PROBABLE	0.86
FMA22459	right adductor magnus	Правый приводящая мышца магнус	adductor magnus	adductor magnus	PROBABLE	0.86
FMA22460	left adductor magnus	Левый приводящая мышца магнус	adductor magnus	adductor magnus	PROBABLE	0.86
FMA22470	muscle of thigh	Мышца бедро			NO_MATCH	0.00
FMA22471	muscle of leg	Мышца голень			NO_MATCH	0.00
FMA22472	muscle of anterior compartment of leg	Мышца передняя компартмент голень			NO_MATCH	0.00
FMA22473	muscle of lateral compartment of leg	Мышца латеральная компартмент голень			NO_MATCH	0.00
FMA22474	muscle of posterior compartment of leg	Мышца задняя компартмент голень			NO_MATCH	0.00
FMA22506	descending genicular artery	Нисходящая коленная артерия	arteria descendens genus	descending genicular artery	EXACT	1.00
FMA22507	right descending genicular artery	Правый нисходящая коленная артерия	arteria descendens genus	descending genicular artery	PROBABLE	0.86
FMA22508	left descending genicular artery	Левый нисходящая коленная артерия	arteria descendens genus	descending genicular artery	PROBABLE	0.86
FMA22532	tibialis anterior	Тибиалис передняя			NO_MATCH	0.00
FMA22533	extensor hallucis longus	Разгибатель большого пальца стопы длинная	extensor longus hallucis	extensor hallucis longus	EXACT	1.00
FMA22534	extensor digitorum longus	Разгибатель пальцев длинная	extensor longus digitorum	extensor digitorum longus	EXACT	1.00
FMA22535	superior genicular artery	Верхняя коленная артерия			NO_MATCH	0.00
FMA22536	middle genicular artery	Средняя коленная артерия	arteria media genus	middle genicular artery	EXACT	1.00
FMA22537	inferior genicular artery	Нижняя коленная артерия			NO_MATCH	0.00
FMA22538	fibularis tertius	Фибуларис тэртиус			NO_MATCH	0.00
FMA22539	fibularis longus	Фибуларис длинная			NO_MATCH	0.00
FMA22540	fibularis brevis	Фибуларис короткая			NO_MATCH	0.00
FMA22542	soleus	Камбаловидная мышца			NO_MATCH	0.00
FMA22543	plantaris	Плантарис			NO_MATCH	0.00
FMA22544	right tibialis anterior	Правый тибиалис передняя			NO_MATCH	0.00
FMA22545	left tibialis anterior	Левый тибиалис передняя			NO_MATCH	0.00
FMA22546	right extensor hallucis longus	Правый разгибатель большого пальца стопы длинная	extensor longus hallucis	extensor hallucis longus	PROBABLE	0.86
FMA22547	left extensor hallucis longus	Левый разгибатель большого пальца стопы длинная	extensor longus hallucis	extensor hallucis longus	PROBABLE	0.86
FMA22548	right extensor digitorum longus	Правый разгибатель пальцев длинная	extensor longus digitorum	extensor digitorum longus	PROBABLE	0.86
FMA22549	left extensor digitorum longus	Левый разгибатель пальцев длинная	extensor longus digitorum	extensor digitorum longus	PROBABLE	0.86
FMA22550	right fibularis tertius	Правый фибуларис тэртиус			NO_MATCH	0.00
FMA22551	left fibularis tertius	Левый фибуларис тэртиус			NO_MATCH	0.00
FMA22552	right fibularis longus	Правый фибуларис длинная			NO_MATCH	0.00
FMA22553	left fibularis longus	Левый фибуларис длинная			NO_MATCH	0.00
FMA22554	right fibularis brevis	Правый фибуларис короткая			NO_MATCH	0.00
FMA22555	left fibularis brevis	Левый фибуларис короткая			NO_MATCH	0.00
FMA22558	right soleus	Правый камбаловидная мышца			NO_MATCH	0.00
FMA22559	left soleus	Левый камбаловидная мышца			NO_MATCH	0.00
FMA22560	right plantaris	Правый плантарис			NO_MATCH	0.00
FMA22561	left plantaris	Левый плантарис			NO_MATCH	0.00
FMA22562	right middle genicular artery	Правый средняя коленная артерия	arteria media genus	middle genicular artery	PROBABLE	0.86
FMA22563	left middle genicular artery	Левый средняя коленная артерия	arteria media genus	middle genicular artery	PROBABLE	0.86
FMA22584	superior medial genicular artery	Верхняя медиальная коленная артерия	arteria superior medialis genus	superior medial genicular artery	EXACT	1.00
FMA22585	superior lateral genicular artery	Верхняя латеральная коленная артерия	arteria superior lateralis genus	superior lateral genicular artery	EXACT	1.00
FMA22586	right medial superior genicular artery	Правый медиальная верхняя коленная артерия			NO_MATCH	0.00
FMA22587	left medial superior genicular artery	Левый медиальная верхняя коленная артерия			NO_MATCH	0.00
FMA22588	right lateral superior genicular artery	Правый латеральная верхняя коленная артерия			NO_MATCH	0.00
FMA22589	left lateral superior genicular artery	Левый латеральная верхняя коленная артерия			NO_MATCH	0.00
FMA22590	popliteus	Поплитэус			NO_MATCH	0.00
FMA22591	right popliteus	Правый поплитэус			NO_MATCH	0.00
FMA22592	left popliteus	Левый поплитэус			NO_MATCH	0.00
FMA22593	flexor hallucis longus	Сгибатель большого пальца стопы длинная	flexor longus hallucis	flexor hallucis longus	EXACT	1.00
FMA22594	muscle of vertebral column	Мышца позвоночная столб			NO_MATCH	0.00
FMA22653	splenius capitis	Сплэниус головки			NO_MATCH	0.00
FMA22654	axillary artery	Подмышечная артерия	arteria axillaris	axillary artery	EXACT	1.00
FMA22655	right axillary artery	Правый подмышечная артерия	arteria axillaris	axillary artery	PROBABLE	0.86
FMA22656	left axillary artery	Левый подмышечная артерия	arteria axillaris	axillary artery	PROBABLE	0.86
FMA22674	lateral thoracic artery	Латеральная грудная артерия	arteria thoracica lateralis	lateral thoracic artery	EXACT	1.00
FMA22675	right lateral thoracic artery	Правый латеральная грудная артерия	arteria thoracica lateralis	lateral thoracic artery	PROBABLE	0.86
FMA22676	left lateral thoracic artery	Левый латеральная грудная артерия	arteria thoracica lateralis	lateral thoracic artery	PROBABLE	0.86
FMA22677	subscapular artery	Субскапулар артерия	arteria subscapularis	subscapular artery	EXACT	1.00
FMA22678	right subscapular artery	Правый субскапулар артерия	arteria subscapularis	subscapular artery	PROBABLE	0.86
FMA22679	left subscapular artery	Левый субскапулар артерия	arteria subscapularis	subscapular artery	PROBABLE	0.86
FMA22680	anterior circumflex humeral artery	Передняя артерия, огибающая плечевую кость	arteria circumflexa anterior humeri	anterior circumflex humeral artery	EXACT	1.00
FMA22681	splenius cervicis	ременная мышца шеи			NO_MATCH	0.00
FMA22682	right anterior circumflex humeral artery	Правая передняя артерия, огибающая плечевую кость	arteria circumflexa anterior humeri	anterior circumflex humeral artery	PROBABLE	0.86
FMA22683	left anterior circumflex humeral artery	Левая передняя артерия, огибающая плечевую кость	arteria circumflexa anterior humeri	anterior circumflex humeral artery	PROBABLE	0.86
FMA22684	posterior circumflex humeral artery	Задняя артерия, огибающая плечевую кость	arteria circumflexa posterior humeri	posterior circumflex humeral artery	EXACT	1.00
FMA22685	right posterior circumflex humeral artery	Правая задняя артерия, огибающая плечевую кость	arteria circumflexa posterior humeri	posterior circumflex humeral artery	PROBABLE	0.86
FMA22687	left posterior circumflex humeral artery	Левая задняя артерия, огибающая плечевую кость	arteria circumflexa posterior humeri	posterior circumflex humeral artery	PROBABLE	0.86
FMA22689	brachial artery	Плечевая артерия	arteria brachialis	brachial artery	EXACT	1.00
FMA22691	right brachial artery	Правый плечевая артерия	arteria brachialis	brachial artery	PROBABLE	0.86
FMA22692	left brachial artery	Левый плечевая артерия	arteria brachialis	brachial artery	PROBABLE	0.86
FMA22693	branch of brachial artery	Ветвь плечевой артерии			NO_MATCH	0.00
FMA22695	deep brachial artery	Глубокая плечевая артерия	arteria profunda brachii	deep brachial artery	EXACT	1.00
FMA22696	right deep brachial artery	Правый глубокая плечевая артерия	arteria profunda brachii	deep brachial artery	PROBABLE	0.86
FMA22697	left deep brachial artery	Левый глубокая плечевая артерия	arteria profunda brachii	deep brachial artery	PROBABLE	0.86
FMA22702	iliocostalis lumborum	Илиокосталис лумборум			NO_MATCH	0.00
FMA22703	iliocostalis thoracis	Илиокосталис груди			NO_MATCH	0.00
FMA22704	iliocostalis cervicis	подвздошно-рёберная мышца шеи			NO_MATCH	0.00
FMA22706	superior ulnar collateral artery	верхняя локтевая коллатеральная артерия	arteria collateralis ulnaris superior	superior ulnar collateral artery	EXACT	1.00
FMA22707	right superior ulnar collateral artery	Правая верхняя локтевая коллатеральная артерия	arteria collateralis ulnaris superior	superior ulnar collateral artery	PROBABLE	0.86
FMA22708	left superior ulnar collateral artery	Левая верхняя локтевая коллатеральная артерия	arteria collateralis ulnaris superior	superior ulnar collateral artery	PROBABLE	0.86
FMA22709	longissimus thoracis	Лонгиссимус груди			NO_MATCH	0.00
FMA22710	inferior ulnar collateral artery	нижняя локтевая коллатеральная артерия	arteria collateralis ulnaris inferior	inferior ulnar collateral artery	EXACT	1.00
FMA22711	longissimus cervicis	длиннейшая мышца шеи			NO_MATCH	0.00
FMA22712	right inferior ulnar collateral artery	Правая нижняя локтевая коллатеральная артерия	arteria collateralis ulnaris inferior	inferior ulnar collateral artery	PROBABLE	0.86
FMA22713	left inferior ulnar collateral artery	Левая нижняя локтевая коллатеральная артерия	arteria collateralis ulnaris inferior	inferior ulnar collateral artery	PROBABLE	0.86
FMA22714	longissimus capitis	Лонгиссимус головки			NO_MATCH	0.00
FMA22726	right splenius cervicis	Правая ременная мышца шеи			NO_MATCH	0.00
FMA22727	left splenius cervicis	Левая ременная мышца шеи			NO_MATCH	0.00
FMA22728	right splenius capitis	Правый сплэниус головки			NO_MATCH	0.00
FMA22729	left splenius capitis	Левый сплэниус головки			NO_MATCH	0.00
FMA22730	radial artery	Лучевая артерия	arteria radialis	radial artery	EXACT	1.00
FMA22733	right radial artery	Правый лучевая артерия	arteria radialis	radial artery	PROBABLE	0.86
FMA22734	left radial artery	Левый лучевая артерия	arteria radialis	radial artery	PROBABLE	0.86
FMA22738	branch of radial artery	Ветвь лучевой артерии			NO_MATCH	0.00
FMA22740	right iliocostalis lumborum	Правый илиокосталис лумборум			NO_MATCH	0.00
FMA22741	left iliocostalis lumborum	Левый илиокосталис лумборум			NO_MATCH	0.00
FMA22742	right iliocostalis thoracis	Правый илиокосталис груди			NO_MATCH	0.00
FMA22743	left iliocostalis thoracis	Левый илиокосталис груди			NO_MATCH	0.00
FMA22744	right iliocostalis cervicis	Правая подвздошно-рёберная мышца шеи			NO_MATCH	0.00
FMA22745	left iliocostalis cervicis	Левая подвздошно-рёберная мышца шеи			NO_MATCH	0.00
FMA22748	radial recurrent artery	Лучевая возвратная артерия	arteria recurrens radialis	radial recurrent artery	EXACT	1.00
FMA22751	right longissimus thoracis	Правый лонгиссимус груди			NO_MATCH	0.00
FMA22753	left longissimus thoracis	Левый лонгиссимус груди			NO_MATCH	0.00
FMA22754	right longissimus capitis	Правый лонгиссимус головки			NO_MATCH	0.00
FMA22755	dorsal carpal branch of radial artery	Тыльная запястная кость ветвь лучевая артерия	ramus carpeus dorsalis arteriae radialis	dorsal carpal branch of radial artery	EXACT	1.00
FMA22756	left longissimus capitis	Левый лонгиссимус головки			NO_MATCH	0.00
FMA22757	right longissimus cervicis	Правая длиннейшая мышца шеи			NO_MATCH	0.00
FMA22758	left longissimus cervicis	Левая длиннейшая мышца шеи			NO_MATCH	0.00
FMA22762	arteria princeps pollicis	Главная артерия большого пальца кисти			NO_MATCH	0.00
FMA22763	arteria radialis indicis	Лучевая артерия указательного пальца			NO_MATCH	0.00
FMA22764	right radial recurrent artery	Правый лучевая возвратная артерия	arteria recurrens radialis	radial recurrent artery	PROBABLE	0.86
FMA22765	spinalis thoracis	Спиналис груди			NO_MATCH	0.00
FMA22766	left radial recurrent artery	Левый лучевая возвратная артерия	arteria recurrens radialis	radial recurrent artery	PROBABLE	0.86
FMA22772	dorsal carpal branch of right radial artery	Тыльная запястная кость ветвь правый лучевая артерия	ramus carpeus dorsalis arteriae radialis	dorsal carpal branch of radial artery	PROBABLE	0.86
FMA22773	dorsal carpal branch of left radial artery	Тыльная запястная кость ветвь левый лучевая артерия	ramus carpeus dorsalis arteriae radialis	dorsal carpal branch of radial artery	PROBABLE	0.86
FMA22777	right arteria radialis indicis	Правая лучевая артерия указательного пальца			NO_MATCH	0.00
FMA22778	left arteria radialis indicis	Левая лучевая артерия указательного пальца			NO_MATCH	0.00
FMA22779	right spinalis thoracis	Правый спиналис груди			NO_MATCH	0.00
FMA22780	left spinalis thoracis	Левый спиналис груди			NO_MATCH	0.00
FMA22796	ulnar artery	Локтевая артерия	arteria ulnaris	ulnar artery	EXACT	1.00
FMA22797	right ulnar artery	Правый локтевая артерия	arteria ulnaris	ulnar artery	PROBABLE	0.86
FMA22798	left ulnar artery	Левый локтевая артерия	arteria ulnaris	ulnar artery	PROBABLE	0.86
FMA22799	branch of ulnar artery	Ветвь локтевая артерия			NO_MATCH	0.00
FMA22800	anterior ulnar recurrent artery	Передняя возвратная локтевая артерия	arteria recurrens ulnaris anterior	anterior ulnar recurrent artery	EXACT	1.00
FMA22801	right anterior ulnar recurrent artery	Правый передняя локтевая возвратная артерия	arteria recurrens ulnaris anterior	anterior ulnar recurrent artery	PROBABLE	0.86
FMA22802	left anterior ulnar recurrent artery	Левый передняя локтевая возвратная артерия	arteria recurrens ulnaris anterior	anterior ulnar recurrent artery	PROBABLE	0.86
FMA22803	posterior ulnar recurrent artery	Задняя локтевая возвратная артерия	arteria recurrens ulnaris posterior	posterior ulnar recurrent artery	EXACT	1.00
FMA22804	right posterior ulnar recurrent artery	Правый задняя локтевая возвратная артерия	arteria recurrens ulnaris posterior	posterior ulnar recurrent artery	PROBABLE	0.86
FMA22805	left posterior ulnar recurrent artery	Левый задняя локтевая возвратная артерия	arteria recurrens ulnaris posterior	posterior ulnar recurrent artery	PROBABLE	0.86
FMA22806	common interosseous artery	Общая межкостная артерия	arteria interossea communis	common interosseous artery	EXACT	1.00
FMA22807	right common interosseous artery	Правый общая межкостная артерия	arteria interossea communis	common interosseous artery	PROBABLE	0.86
FMA22808	left common interosseous artery	Левый общая межкостная артерия	arteria interossea communis	common interosseous artery	PROBABLE	0.86
FMA22809	branch of common interosseous artery	Ветвь общей межкостной артерии			NO_MATCH	0.00
FMA22810	anterior interosseous artery	Передняя межкостная артерия	arteria interossea anterior	anterior interosseous artery	EXACT	1.00
FMA22812	right anterior interosseous artery	Правый передняя межкостная артерия	arteria interossea anterior	anterior interosseous artery	PROBABLE	0.86
FMA22813	left anterior interosseous artery	Левый передняя межкостная артерия	arteria interossea anterior	anterior interosseous artery	PROBABLE	0.86
FMA22820	dorsal carpal branch of ulnar artery	Тыльная запястная кость ветвь локтевая артерия	ramus carpeus dorsalis arteriae ulnaris	dorsal carpal branch of ulnar artery	EXACT	1.00
FMA22821	right dorsal carpal branch of ulnar artery	Правый тыльная запястная кость ветвь локтевая артерия	ramus carpeus dorsalis arteriae ulnaris	dorsal carpal branch of ulnar artery	PROBABLE	0.86
FMA22822	left dorsal carpal branch of ulnar artery	Левый тыльная запястная кость ветвь локтевая артерия	ramus carpeus dorsalis arteriae ulnaris	dorsal carpal branch of ulnar artery	PROBABLE	0.86
FMA22823	semispinalis	Сэмиспиналис			NO_MATCH	0.00
FMA22828	semispinalis thoracis	Сэмиспиналис груди			NO_MATCH	0.00
FMA22829	semispinalis cervicis	Полуостистая мышца шеи			NO_MATCH	0.00
FMA22830	semispinalis capitis	Сэмиспиналис головки			NO_MATCH	0.00
FMA22834	superficial palmar arterial arch	Поверхностная ладонная артериальная дуга			NO_MATCH	0.00
FMA22835	right superficial palmar arterial arch	Правый поверхностная ладонная артериальная дуга			NO_MATCH	0.00
FMA22837	left superficial palmar arterial arch	Левый поверхностная ладонная артериальная дуга			NO_MATCH	0.00
FMA22838	deep palmar arterial arch	Глубокая ладонная артериальная дуга			NO_MATCH	0.00
FMA22839	right deep palmar arch	Правый глубокая ладонная дуга	arcus palmaris profundus	deep palmar arch	PROBABLE	0.86
FMA22840	left deep palmar arch	Левый глубокая ладонная дуга	arcus palmaris profundus	deep palmar arch	PROBABLE	0.86
FMA22841	interspinalis muscle	Интэрспиналис мышца			NO_MATCH	0.00
FMA22842	branch of arterial anastomosis	Ветвь артериального анастомоза			NO_MATCH	0.00
FMA22843	branch of deep palmar arterial arch	Ветвь глубокой ладонной артериальной дуги			NO_MATCH	0.00
FMA22845	branch of superficial palmar arterial arch	Ветвь поверхностная ладонная артериальная дуга			NO_MATCH	0.00
FMA22846	interspinalis thoracis	Интэрспиналис груди			NO_MATCH	0.00
FMA22848	intertransversarius muscle	Интэртрансвэрсариус мышца			NO_MATCH	0.00
FMA22849	lumbar intertransversarius	Поясничная интэртрансвэрсариус			NO_MATCH	0.00
FMA22850	lateral lumbar intertransversarius	Латеральная поясничная интэртрансвэрсариус			NO_MATCH	0.00
FMA22851	medial lumbar intertransversarius	Медиальная поясничная интэртрансвэрсариус			NO_MATCH	0.00
FMA22854	first common palmar digital artery	первая общая ладонная пальцевая артерия			NO_MATCH	0.00
FMA22855	second common palmar digital artery	вторая общая ладонная пальцевая артерия			NO_MATCH	0.00
FMA22856	right first common palmar digital artery	первая общая ладонная пальцевая артерия			NO_MATCH	0.00
FMA22857	lateral proper palmar digital artery of middle finger	Латеральная собственно ладонная пальцевая артерия средняя палец			NO_MATCH	0.00
FMA22858	lateral proper palmar digital artery of right middle finger	Правая латеральная собственная ладонная пальцевая артерия среднего пальца			NO_MATCH	0.00
FMA22860	lateral proper palmar digital artery of left middle finger	Левая латеральная собственная ладонная пальцевая артерия среднего пальца			NO_MATCH	0.00
FMA22863	palmar metacarpal artery	Ладонная пястная кость артерия			NO_MATCH	0.00
FMA22864	right palmar metacarpal artery	Правый ладонная пястная кость артерия			NO_MATCH	0.00
FMA22865	left palmar metacarpal artery	Левый ладонная пястная кость артерия			NO_MATCH	0.00
FMA22872	right semispinalis thoracis	Правый сэмиспиналис груди			NO_MATCH	0.00
FMA22873	left semispinalis thoracis	Левый сэмиспиналис груди			NO_MATCH	0.00
FMA22874	right semispinalis cervicis	Правая полуостистая мышца шеи			NO_MATCH	0.00
FMA22875	left semispinalis cervicis	Левая полуостистая мышца шеи			NO_MATCH	0.00
FMA22876	right semispinalis capitis	Правый сэмиспиналис головки			NO_MATCH	0.00
FMA22877	left semispinalis capitis	Левый сэмиспиналис головки			NO_MATCH	0.00
FMA22890	right interspinalis thoracis	Правый интэрспиналис груди			NO_MATCH	0.00
FMA22891	left interspinalis thoracis	Левый интэрспиналис груди			NO_MATCH	0.00
FMA22905	right arteria princeps pollicis	Правый артэриа принкэпс большого пальца кисти			NO_MATCH	0.00
FMA22907	left arteria princeps pollicis	Левый артэриа принкэпс большого пальца кисти			NO_MATCH	0.00
FMA22908	basilic vein	Базиликовая вена	vena basilica	basilic vein	EXACT	1.00
FMA22909	right basilic vein	Правый медиальная подкожная вена	vena basilica	basilic vein	PROBABLE	0.86
FMA22910	left basilic vein	Левый медиальная подкожная вена	vena basilica	basilic vein	PROBABLE	0.86
FMA22911	deep palmar venous arch	Глубокая ладонная венозная дуга			NO_MATCH	0.00
FMA22912	right deep palmar venous arch	Правый глубокая ладонная венозная дуга			NO_MATCH	0.00
FMA22913	left deep palmar venous arch	Левый глубокая ладонная венозная дуга			NO_MATCH	0.00
FMA22914	superficial palmar venous arch	Поверхностная ладонная венозная дуга			NO_MATCH	0.00
FMA22915	right superficial palmar venous arch	Правый поверхностная ладонная венозная дуга			NO_MATCH	0.00
FMA22916	left superficial palmar venous arch	Левый поверхностная ладонная венозная дуга			NO_MATCH	0.00
FMA22917	tributary of venous anastomosis	Приток венозная анастомоз			NO_MATCH	0.00
FMA22919	palmar metacarpal vein	Ладонная пястная кость вена			NO_MATCH	0.00
FMA22920	right palmar metacarpal vein	Правый ладонная пястная кость вена			NO_MATCH	0.00
FMA22921	left palmar metacarpal vein	Левый ладонная пястная кость вена			NO_MATCH	0.00
FMA22922	tributary of superficial palmar venous arch	Приток поверхностная ладонная венозная дуга			NO_MATCH	0.00
FMA22923	common palmar digital vein	общая ладонная пальцевая вена			NO_MATCH	0.00
FMA22926	tributary of common palmar digital vein	общая ладонная пальцевая вена			NO_MATCH	0.00
FMA22927	proper palmar digital vein of index finger	Собственно ладонная пальцевая вена указательного палец			NO_MATCH	0.00
FMA22928	proper palmar digital vein of middle finger	Собственно ладонная пальцевая вена средняя палец			NO_MATCH	0.00
FMA22929	proper palmar digital vein of ring finger	Собственно ладонная пальцевая вена кольцо палец			NO_MATCH	0.00
FMA22930	tributary of subclavian vein	Приток подключичная вена			NO_MATCH	0.00
FMA22934	brachial vein	Плечевая вена			NO_MATCH	0.00
FMA22935	right medial brachial vein	Правый медиальная плечевая вена			NO_MATCH	0.00
FMA22936	left medial brachial vein	Левый медиальная плечевая вена			NO_MATCH	0.00
FMA22937	tributary of brachial vein	Приток плечевая вена			NO_MATCH	0.00
FMA22947	radial vein	Лучевая вена			NO_MATCH	0.00
FMA22948	right radial vein	Правый лучевая вена			NO_MATCH	0.00
FMA22949	left radial vein	Левый лучевая вена			NO_MATCH	0.00
FMA22950	ulnar vein	Локтевая вена			NO_MATCH	0.00
FMA22951	right ulnar vein	Правый локтевая вена			NO_MATCH	0.00
FMA22952	left ulnar vein	Левый локтевая вена			NO_MATCH	0.00
FMA22953	tributary of radial vein	Приток лучевая вена			NO_MATCH	0.00
FMA22954	dorsal metacarpal vein	Тыльная пястная кость вена			NO_MATCH	0.00
FMA22963	median cubital vein	Мэдиан кубитал вена	vena mediana cubiti	median cubital vein	EXACT	1.00
FMA22964	right median cubital vein	Правый мэдиан кубитал вена	vena mediana cubiti	median cubital vein	PROBABLE	0.86
FMA22965	left median cubital vein	Левый мэдиан кубитал вена	vena mediana cubiti	median cubital vein	PROBABLE	0.86
FMA22967	median antebrachial vein	Мэдиан антэбрачиал вена	vena mediana antebrachii	median antebrachial vein	EXACT	1.00
FMA22968	right median antebrachial vein	Правый мэдиан антэбрачиал вена	vena mediana antebrachii	median antebrachial vein	PROBABLE	0.86
FMA22969	left median antebrachial vein	Левый мэдиан антэбрачиал вена	vena mediana antebrachii	median antebrachial vein	PROBABLE	0.86
FMA23046	medial proper palmar digital artery of ring finger	Медиальная собственно ладонная пальцевая артерия кольцо палец			NO_MATCH	0.00
