conceptId	en	current_ru	problem_types	mapping_status	latin_ta	english_ta	decision	confidence	final_ru	reason
FMA22355	left sartorius	Левый портняжная мышца	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая портняжная мышца	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22452	right adductor brevis	Правый приводящая мышца короткая	LATERALITY|GRAMMAR	PROBABLE	adductor brevis	adductor brevis	APPLY	HIGH	Правая приводящая мышца короткая	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22454	left adductor brevis	Левый приводящая мышца короткая	LATERALITY|GRAMMAR	PROBABLE	adductor brevis	adductor brevis	APPLY	HIGH	Левая приводящая мышца короткая	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22456	right adductor longus	Правый приводящая мышца длинная	LATERALITY|GRAMMAR	PROBABLE	adductor longus	adductor longus	APPLY	HIGH	Правая приводящая мышца длинная	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22457	left adductor longus	Левый приводящая мышца длинная	LATERALITY|GRAMMAR	PROBABLE	adductor longus	adductor longus	APPLY	HIGH	Левая приводящая мышца длинная	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22459	right adductor magnus	Правый приводящая мышца магнус	LATERALITY|GRAMMAR	PROBABLE	adductor magnus	adductor magnus	APPLY	HIGH	Правая приводящая мышца магнус	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22460	left adductor magnus	Левый приводящая мышца магнус	LATERALITY|GRAMMAR	PROBABLE	adductor magnus	adductor magnus	APPLY	HIGH	Левая приводящая мышца магнус	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22507	right descending genicular artery	Правый нисходящая коленная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria descendens genus	descending genicular artery	APPLY	HIGH	Правая нисходящая коленная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22508	left descending genicular artery	Левый нисходящая коленная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria descendens genus	descending genicular artery	APPLY	HIGH	Левая нисходящая коленная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22558	right soleus	Правый камбаловидная мышца	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая камбаловидная мышца	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22559	left soleus	Левый камбаловидная мышца	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая камбаловидная мышца	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22586	right medial superior genicular artery	Правый медиальная верхняя коленная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая медиальная верхняя коленная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22587	left medial superior genicular artery	Левый медиальная верхняя коленная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая медиальная верхняя коленная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22588	right lateral superior genicular artery	Правый латеральная верхняя коленная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая латеральная верхняя коленная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22589	left lateral superior genicular artery	Левый латеральная верхняя коленная артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая латеральная верхняя коленная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22655	right axillary artery	Правый подмышечная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria axillaris	axillary artery	APPLY	HIGH	Правая подмышечная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22656	left axillary artery	Левый подмышечная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria axillaris	axillary artery	APPLY	HIGH	Левая подмышечная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22675	right lateral thoracic artery	Правый латеральная грудная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria thoracica lateralis	lateral thoracic artery	APPLY	HIGH	Правая латеральная грудная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22676	left lateral thoracic artery	Левый латеральная грудная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria thoracica lateralis	lateral thoracic artery	APPLY	HIGH	Левая латеральная грудная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22691	right brachial artery	Правый плечевая артерия	LATERALITY|GRAMMAR	PROBABLE	arteria brachialis	brachial artery	APPLY	HIGH	Правая плечевая артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22692	left brachial artery	Левый плечевая артерия	LATERALITY|GRAMMAR	PROBABLE	arteria brachialis	brachial artery	APPLY	HIGH	Левая плечевая артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22696	right deep brachial artery	Правый глубокая плечевая артерия	LATERALITY|GRAMMAR	PROBABLE	arteria profunda brachii	deep brachial artery	APPLY	HIGH	Правая глубокая плечевая артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22697	left deep brachial artery	Левый глубокая плечевая артерия	LATERALITY|GRAMMAR	PROBABLE	arteria profunda brachii	deep brachial artery	APPLY	HIGH	Левая глубокая плечевая артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22733	right radial artery	Правый лучевая артерия	LATERALITY|GRAMMAR	PROBABLE	arteria radialis	radial artery	APPLY	HIGH	Правая лучевая артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22734	left radial artery	Левый лучевая артерия	LATERALITY|GRAMMAR	PROBABLE	arteria radialis	radial artery	APPLY	HIGH	Левая лучевая артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22764	right radial recurrent artery	Правый лучевая возвратная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria recurrens radialis	radial recurrent artery	APPLY	HIGH	Правая лучевая возвратная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22766	left radial recurrent artery	Левый лучевая возвратная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria recurrens radialis	radial recurrent artery	APPLY	HIGH	Левая лучевая возвратная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22772	dorsal carpal branch of right radial artery	Тыльная запястная кость ветвь правый лучевая артерия	LATERALITY|GRAMMAR	PROBABLE	ramus carpeus dorsalis arteriae radialis	dorsal carpal branch of radial artery	APPLY	HIGH	Тыльная запястная кость ветвь правой лучевой артерии	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22773	dorsal carpal branch of left radial artery	Тыльная запястная кость ветвь левый лучевая артерия	LATERALITY|GRAMMAR	PROBABLE	ramus carpeus dorsalis arteriae radialis	dorsal carpal branch of radial artery	APPLY	HIGH	Тыльная запястная кость ветвь левой лучевой артерии	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22797	right ulnar artery	Правый локтевая артерия	LATERALITY|GRAMMAR	PROBABLE	arteria ulnaris	ulnar artery	APPLY	HIGH	Правая локтевая артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22798	left ulnar artery	Левый локтевая артерия	LATERALITY|GRAMMAR	PROBABLE	arteria ulnaris	ulnar artery	APPLY	HIGH	Левая локтевая артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22807	right common interosseous artery	Правый общая межкостная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria interossea communis	common interosseous artery	APPLY	HIGH	Правая общая межкостная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22808	left common interosseous artery	Левый общая межкостная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria interossea communis	common interosseous artery	APPLY	HIGH	Левая общая межкостная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22821	right dorsal carpal branch of ulnar artery	Правый тыльная запястная кость ветвь локтевая артерия	LATERALITY|GRAMMAR	PROBABLE	ramus carpeus dorsalis arteriae ulnaris	dorsal carpal branch of ulnar artery	APPLY	HIGH	Правая тыльная запястная кость ветвь локтевая артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22822	left dorsal carpal branch of ulnar artery	Левый тыльная запястная кость ветвь локтевая артерия	LATERALITY|GRAMMAR	PROBABLE	ramus carpeus dorsalis arteriae ulnaris	dorsal carpal branch of ulnar artery	APPLY	HIGH	Левая тыльная запястная кость ветвь локтевая артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22835	right superficial palmar arterial arch	Правый поверхностная ладонная артериальная дуга	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA22837	left superficial palmar arterial arch	Левый поверхностная ладонная артериальная дуга	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA22839	right deep palmar arch	Правый глубокая ладонная дуга	LATERALITY|GRAMMAR	PROBABLE	arcus palmaris profundus	deep palmar arch	REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA22840	left deep palmar arch	Левый глубокая ладонная дуга	LATERALITY|GRAMMAR	PROBABLE	arcus palmaris profundus	deep palmar arch	REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA22864	right palmar metacarpal artery	Правый ладонная пястная кость артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая ладонная пястная кость артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22865	left palmar metacarpal artery	Левый ладонная пястная кость артерия	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая ладонная пястная кость артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22909	right basilic vein	Правый медиальная подкожная вена	LATERALITY|GRAMMAR	PROBABLE	vena basilica	basilic vein	APPLY	HIGH	Правая медиальная подкожная вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22910	left basilic vein	Левый медиальная подкожная вена	LATERALITY|GRAMMAR	PROBABLE	vena basilica	basilic vein	APPLY	HIGH	Левая медиальная подкожная вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22912	right deep palmar venous arch	Правый глубокая ладонная венозная дуга	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA22913	left deep palmar venous arch	Левый глубокая ладонная венозная дуга	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA22915	right superficial palmar venous arch	Правый поверхностная ладонная венозная дуга	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA22916	left superficial palmar venous arch	Левый поверхностная ладонная венозная дуга	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA22920	right palmar metacarpal vein	Правый ладонная пястная кость вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая ладонная пястная кость вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22921	left palmar metacarpal vein	Левый ладонная пястная кость вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая ладонная пястная кость вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22935	right medial brachial vein	Правый медиальная плечевая вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая медиальная плечевая вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22936	left medial brachial vein	Левый медиальная плечевая вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая медиальная плечевая вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22948	right radial vein	Правый лучевая вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая лучевая вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22949	left radial vein	Левый лучевая вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая лучевая вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22951	right ulnar vein	Правый локтевая вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая локтевая вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA22952	left ulnar vein	Левый локтевая вена	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая локтевая вена	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA23089	right lumbar rotator	Правый поясничная вращатель	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA23090	left lumbar rotator	Левый поясничная вращатель	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA23130	right humerus	Правый плечевая кость	LATERALITY|GRAMMAR	PROBABLE	humerus	humerus	APPLY	HIGH	Правая плечевая кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA23131	left humerus	Левый плечевая кость	LATERALITY|GRAMMAR	PROBABLE	humerus	humerus	APPLY	HIGH	Левая плечевая кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA23180	right circumflex scapular artery	Правый огибающая лопаточная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria circumflexa scapulae	circumflex scapular artery	APPLY	HIGH	Правая огибающая лопаточная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA23181	left circumflex scapular artery	Левый огибающая лопаточная артерия	LATERALITY|GRAMMAR	PROBABLE	arteria circumflexa scapulae	circumflex scapular artery	APPLY	HIGH	Левая огибающая лопаточная артерия	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA23464	right radius	Правый лучевая кость	LATERALITY|GRAMMAR	PROBABLE	radius	radius	APPLY	HIGH	Правая лучевая кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA23465	left radius	Левый лучевая кость	LATERALITY|GRAMMAR	PROBABLE	radius	radius	APPLY	HIGH	Левая лучевая кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA23467	right ulna	Правый локтевая кость	LATERALITY|GRAMMAR	PROBABLE	ulna	ulna	APPLY	HIGH	Правая локтевая кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA23468	left ulna	Левый локтевая кость	LATERALITY|GRAMMAR	PROBABLE	ulna	ulna	APPLY	HIGH	Левая локтевая кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24464	right first metacarpal bone	Правый первая пястная кость кость	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая первая пястная кость кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24465	left first metacarpal bone	Левый первая пястная кость кость	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая первая пястная кость кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24466	right second metacarpal bone	Правый вторая пястная кость кость	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая вторая пястная кость кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24467	left second metacarpal bone	Левый вторая пястная кость кость	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая вторая пястная кость кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24470	right fourth metacarpal bone	Правый четвёртая пястная кость кость	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая четвёртая пястная кость кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24471	left fourth metacarpal bone	Левый четвёртая пястная кость кость	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая четвёртая пястная кость кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24472	right fifth metacarpal bone	Правый пятая пястная кость кость	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая пятая пястная кость кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24473	left fifth metacarpal bone	Левый пятая пястная кость кость	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая пятая пястная кость кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24474	right femur	Правый бедренная кость	LATERALITY|GRAMMAR	PROBABLE	os femoris	femur	APPLY	HIGH	Правая бедренная кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24475	left femur	Левый бедренная кость	LATERALITY|GRAMMAR	PROBABLE	os femoris	femur	APPLY	HIGH	Левая бедренная кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24477	right tibia	Правый большеберцовая кость	LATERALITY|GRAMMAR	PROBABLE	tibia	tibia	APPLY	HIGH	Правая большеберцовая кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24478	left tibia	Левый большеберцовая кость	LATERALITY|GRAMMAR	PROBABLE	tibia	tibia	APPLY	HIGH	Левая большеберцовая кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24480	right fibula	Правый малоберцовая кость	LATERALITY|GRAMMAR	PROBABLE	fibula	fibula	APPLY	HIGH	Правая малоберцовая кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24481	left fibula	Левый малоберцовая кость	LATERALITY|GRAMMAR	PROBABLE	fibula	fibula	APPLY	HIGH	Левая малоберцовая кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24482	right talus	Правый таранная кость	LATERALITY|GRAMMAR	PROBABLE	os tali	talus	APPLY	HIGH	Правая таранная кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24483	left talus	Левый таранная кость	LATERALITY|GRAMMAR	PROBABLE	os tali	talus	APPLY	HIGH	Левая таранная кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24497	right calcaneus	Правый пяточная кость	LATERALITY|GRAMMAR	PROBABLE	calcaneus	calcaneus	APPLY	HIGH	Правая пяточная кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24498	left calcaneus	Левый пяточная кость	LATERALITY|GRAMMAR	PROBABLE	calcaneus	calcaneus	APPLY	HIGH	Левая пяточная кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24507	right first metatarsal bone	Правый первая плюсневая кость кость	LATERALITY|GRAMMAR	PROBABLE	os primum metatarsi	first metatarsal bone	APPLY	HIGH	Правая первая плюсневая кость кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24508	left first metatarsal bone	Левый первая плюсневая кость кость	LATERALITY|GRAMMAR	PROBABLE	os primum metatarsi	first metatarsal bone	APPLY	HIGH	Левая первая плюсневая кость кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24509	right second metatarsal bone	Правый вторая плюсневая кость кость	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая вторая плюсневая кость кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24510	left second metatarsal bone	Левый вторая плюсневая кость кость	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая вторая плюсневая кость кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24513	right fourth metatarsal bone	Правый четвёртая плюсневая кость кость	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая четвёртая плюсневая кость кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24514	left fourth metatarsal bone	Левый четвёртая плюсневая кость кость	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая четвёртая плюсневая кость кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24515	right fifth metatarsal bone	Правый пятая плюсневая кость кость	LATERALITY|GRAMMAR	PROBABLE	os quintum metatarsi	fifth metatarsal bone	APPLY	HIGH	Правая пятая плюсневая кость кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA24516	left fifth metatarsal bone	Левый пятая плюсневая кость кость	LATERALITY|GRAMMAR	PROBABLE	os quintum metatarsi	fifth metatarsal bone	APPLY	HIGH	Левая пятая плюсневая кость кость	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA32530	right rectus capitis posterior major	Правый прямая мышца головки задняя большая	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая прямая мышца головки задняя большая	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA32531	left rectus capitis posterior major	Левый прямая мышца головки задняя большая	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая прямая мышца головки задняя большая	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA32532	right rectus capitis posterior minor	Правый прямая мышца головки задняя малая	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Правая прямая мышца головки задняя малая	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA32533	left rectus capitis posterior minor	Левый прямая мышца головки задняя малая	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Левая прямая мышца головки задняя малая	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA32544	right supraspinatus	Правый надостная	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA32545	left supraspinatus	Левый надостная	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA32634	proximal phalanx of right second toe	Проксимальная фаланга правый вторая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA32635	proximal phalanx of left second toe	Проксимальная фаланга левый вторая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA32638	proximal phalanx of right fourth toe	Проксимальная фаланга правый четвёртая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA32639	proximal phalanx of left fourth toe	Проксимальная фаланга левый четвёртая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA32642	middle phalanx of right second toe	Средняя фаланга правый вторая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA32643	middle phalanx of left second toe	Средняя фаланга левый вторая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA32646	middle phalanx of right fourth toe	Средняя фаланга правый четвёртая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA32647	middle phalanx of left fourth toe	Средняя фаланга левый четвёртая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA32652	distal phalanx of right second toe	Дистальная фаланга правый вторая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA32653	distal phalanx of left second toe	Дистальная фаланга левый вторая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA32656	distal phalanx of right fourth toe	Дистальная фаланга правый четвёртая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA32657	distal phalanx of left fourth toe	Дистальная фаланга левый четвёртая палец стопы	LATERALITY|GRAMMAR	NO_MATCH			REVIEW	LOW		Suspicious validator finding requires Russian anatomical terminology review.
FMA33584	transverse part of right trapezius	Поперечная часть правый трапециевидная мышца	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Поперечная часть правой трапециевидной мышцы	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA33585	transverse part of left trapezius	Поперечная часть левый трапециевидная мышца	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Поперечная часть левой трапециевидной мышцы	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA33586	descending part of right trapezius	Нисходящая часть правый трапециевидная мышца	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Нисходящая часть правой трапециевидной мышцы	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA33587	descending part of left trapezius	Нисходящая часть левый трапециевидная мышца	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Нисходящая часть левой трапециевидной мышцы	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA34680	clavicular part of right deltoid	Клавикулар часть правый дельтовидная мышца	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Клавикулар часть правой дельтовидной мышцы	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA34681	clavicular part of left deltoid	Клавикулар часть левый дельтовидная мышца	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Клавикулар часть левой дельтовидной мышцы	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA34684	spinal part of right deltoid	Спинномозговая часть правый дельтовидная мышца	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Спинномозговая часть правой дельтовидной мышцы	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA34685	spinal part of left deltoid	Спинномозговая часть левый дельтовидная мышца	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Спинномозговая часть левой дельтовидной мышцы	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA34690	clavicular part of right pectoralis major	Клавикулар часть правый грудная мышца большая	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Клавикулар часть правой грудной мышцы большая	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA34691	clavicular part of left pectoralis major	Клавикулар часть левый грудная мышца большая	LATERALITY|GRAMMAR	NO_MATCH			APPLY	HIGH	Клавикулар часть левой грудной мышцы большая	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA37386	right abductor pollicis brevis	Правый отводящая мышца большого пальца кисти короткая	LATERALITY|GRAMMAR	PROBABLE	abductor brevis pollicis	abductor pollicis brevis	APPLY	HIGH	Правая отводящая мышца большого пальца кисти короткая	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA37387	left abductor pollicis brevis	Левый отводящая мышца большого пальца кисти короткая	LATERALITY|GRAMMAR	PROBABLE	abductor brevis pollicis	abductor pollicis brevis	APPLY	HIGH	Левая отводящая мышца большого пальца кисти короткая	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA37459	right abductor hallucis	Правый отводящая мышца большого пальца стопы	LATERALITY|GRAMMAR	PROBABLE	abductor hallucis	abductor hallucis	APPLY	HIGH	Правая отводящая мышца большого пальца стопы	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA37460	left abductor hallucis	Левый отводящая мышца большого пальца стопы	LATERALITY|GRAMMAR	PROBABLE	abductor hallucis	abductor hallucis	APPLY	HIGH	Левая отводящая мышца большого пальца стопы	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA37684	short head of right biceps brachii	Короткая головка правый двуглавая мышца плеча	LATERALITY|GRAMMAR	PROBABLE	caput breve musculi bicipitis brachii	short head of biceps brachii	APPLY	HIGH	Короткая головка правой двуглавой мышцы плеча	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA37685	short head of left biceps brachii	Короткая головка левый двуглавая мышца плеча	LATERALITY|GRAMMAR	PROBABLE	caput breve musculi bicipitis brachii	short head of biceps brachii	APPLY	HIGH	Короткая головка левой двуглавой мышцы плеча	Deterministic grammatical or established terminology correction; source meaning is preserved.
FMA37686	long head of right biceps brachii	Длинная головка правый двуглавая мышца плеча	LATERALITY|GRAMMAR	PROBABLE	caput longum musculi bicipitis brachii	long head of biceps brachii	APPLY	HIGH	Длинная головка правой двуглавой мышцы плеча	Deterministic grammatical or established terminology correction; source meaning is preserved.
